markup_id,reason,grade,error_tag,correct
36216,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36250,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36297,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36314,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36818,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,als was
39270,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
39414,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,stärkt
39468,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,liebte
39963,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,davon
40255,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Trennbare Verben,wechseln
40415,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Korrespondenz hielt
40848,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
40884,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,stärken
40893,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,den Tagesablauf
41091,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,ihren Blick
41094,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wahl der Präposition,zum
41379,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Unterricht
41406,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Interpunktion,","
41445,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,eine sehr bekannte feste Redewendung
41557,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,gesund
41575,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,feste Redewendung
41630,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
41750,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Sportvereine
41763,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
42207,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Sport
42306,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
42370,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu leben
42403,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Zusammengesetzte Wörter,Studentenwohnheimleben
42406,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Konnektoren,auch
42775,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Überflüssige Elemente,-
42971,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Sowetskaja
43668,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu verbringen
43683,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu führen
270236,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,Ein
44983,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,Wenn
45110,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Vergleichkonstruktionen,als
45711,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu trinken
45719,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu gehen
46007,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Direkte Wortfolge,Der Autor betont auch
46013,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,ein
46038,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu leben
46069,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Auslassungen,es
46502,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Pronomen,man
47393,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,angezogen
269498,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Petrosawodsk
48392,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu bleiben
49353,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Waschbecken
49546,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Waschbecken
49894,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,Jede Variante
50164,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,schwimmen 
50166,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,joggen 
50722,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,mieten
50721,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu mieten
50727,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Überflüssige Elemente,-
51237,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,du
52013,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Frühgymntastik
269550,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Internet
52280,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,wirken
269596,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Internet
269600,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
269601,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
52303,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,versteht
52656,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
52810,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,es
52877,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
53007,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,getrennt
53020,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
53316,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,nach
53627,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Au­ßer­dem
53628,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
53630,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,oft
53660,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,auch
53678,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Letzten Endes
53930,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,gibt
54036,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,seit
54071,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,mag
54082,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Wahl der Zeitform,komme
54107,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Indirekte Wortfolge,bin ich
54715,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
54774,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,Es
54897,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wahl der Präposition,an
54932,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Possessivpronomen,meine
55189,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
55351,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Geschirr
55352,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
55908,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Orthographie,Vater
56065,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,ein Bett
269626,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,eine gesunde Lebensweise
269510,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
57190,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,ihr nachgehen
57528,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,daran
58038,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,danach
58498,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,öfter
58501,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Deklination,des Kindes
58613,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,das
59339,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Ansätzen
60881,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,diese Planungsart
60965,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
61605,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Sprachstil,man
61614,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Sprachstil,sich tun kann
61714,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Logik,Man kann
61729,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Personalpronomen,kann man
62361,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
63873,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Fächer
64381,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,nur Eins und Zwei haben
65325,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Partizip I,Ein Verbrechen begehende Leute
66038,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
66763,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Wagner
68228,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,hole Worte
68670,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,sich ihm hingibt
68682,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Pronomen,einander
68795,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wortstellung,das alles
69926,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Feste Wendungen,schwerfällig
71152,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Possessivpronomen,ihm
71547,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
71564,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
71588,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktiv,würde
71597,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Besonderheit
71611,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
71883,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
71902,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Kontrolle
72003,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
72028,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaft
72107,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Eigenschaften
73906,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,sonst
74559,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Wortfolge,klug und erfahren genug
75692,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,Jede Region
76905,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Lexemauswahl,komponieren
77397,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Gesellschaften
77414,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,vertreiben
83598,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,glauben daran
84765,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Mozart
84862,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Wahl der Präposition,wegen
84868,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,des Studiumabschlusses
85965,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,tausenden
86774,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Überflüssige Elemente,Man kann 
86864,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Deshalb
87911,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Konjunktionen,Wie
88262,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,wie
88270,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,wie
88279,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,schießen Salute
88289,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,zu Besuch
88384,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
88392,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
88640,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,wie
88908,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Konjunktionen,Wie
89392,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
89410,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
89434,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
89815,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Konjunktionen,Wie
91658,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
91903,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,oder
